PR_Number,Author,Score,Threat_Class,Unlinked_PR,Logic_Clones,Antipattern_IDs,Collided_PRs,Time_Saved_Hours,Operational_Savings_USD,Timestamp,PR_State,Is_Bot,Repo_Slug,Commit_SHA,Policy_Hash,Agentic_Contribution_Pct
37299,Radek Simko,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,bd0af11a1b16a4b25590f7fcf5609c9132157c0c,,0.00
37641,Liam Cervante,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,ff1a625ed146fc84e61c6390999bf9f4c5669b45,,0.00
38328,Daniel Banck,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,af42ce06f7fec45f2f2b02dc64888e2bda077841,,0.00
37639,Liam Cervante,0,Necrotic,FALSE,0,backlog:SEMANTIC_NULL,,0.2000,20,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,94eea87a4f4f0f24af871844411741eb5fd85239,,0.00
38327,Daniel Banck,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,50cd09c7e691118b8348c4e01270d4ab9338a768,,0.00
37638,Andrew Babichev,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,8097ce9e5784974fd1f0d2db7f0057c806aab273,,0.00
38326,Daniel Banck,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,162077df6fdae3a0bbddac27bc90811124c35b25,,0.00
37298,Liam Cervante,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,4ce4e9c1b618f4f28fd6abc8658e2bef67689e2b,,0.00
37637,Samsondeen Dare,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,df53161d048ad6ddaa2b6f65fea08d8f4630852a,,0.00
38325,Kristin Laemmert,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,18fbd9696e524c9b4a7674ad3fb6d56b4ebcd271,,0.00
37297,Samsondeen,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:05Z,Open,FALSE,hashicorp/terraform,8dd3c62c159d0bcb0b0f4598d3e00e94b1fae70b,,0.00
38324,martijnvdp,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,bc7fade97aa421b8653113dca7bbef832702c6a9,,0.00
38323,martijnvdp,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,79e6ba04cdfaf979a0784b257a62134a28feb3b0,,0.00
37296,Daniel Banck,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,b7d8fa9ae217ac92946fa1428b67e92ca0762ad5,,0.00
37636,hc-github-team-tf-core,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,4cecb1041fd4c07fbd8b5130dd419a439948312b,,0.00
38321,dependabot[bot],0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,387ae1d8c2aa502b508d5535fe45c2df64e2ee45,,0.00
37990,Daniel Schmidt,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,51c47f7c9ca7f73a8dbff01ad3feaf207db90cef,,0.00
37294,Ayush Singh,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,4c6437fd6f62295d7662cae5f62051d4d9e0039b,,0.00
38318,James Bardin,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,702a6978cdbb77430b1799e54fe052a0c8b81cce,,0.00
38316,Craig Wright,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,d5cac62215f71e11457015912d1421b2cf6ed544,,0.00
37292,Samsondeen Dare,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,0bddabc9fe193667d47022ea06089110ef23260a,,0.00
37635,hc-github-team-tf-core,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,b4f542df957f64a0dd65c31ea6dde083faf36e7c,,0.00
38313,Roniece,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,36a8c9c331114c460bca8f0dec165801daef49ff,,0.00
37634,Sarah French,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-31T16:21:06Z,Open,FALSE,hashicorp/terraform,c43a2b5ba2f6794489b750721bc60f19be965773,,0.00
